timestamp_utc,timestamp_monotonic,elapsed_sec,latest_lidar_stamp,latest_odom_stamp,latest_clock_stamp,sensor_backlog_sec,clock_lag_sec,odom_message_count,lidar_message_count
2026-07-31T11:53:41.702671+00:00,10841.067616634,0.509959,,,,,,0,0
2026-07-31T11:53:42.202668+00:00,10841.567614237,1.009957,,,,,,0,0
2026-07-31T11:53:42.702647+00:00,10842.067593436,1.509936,,,,,,0,0
2026-07-31T11:53:43.202631+00:00,10842.567577854,2.009921,,,,,,0,0
2026-07-31T11:53:43.702642+00:00,10843.067588474,2.509931,,,,,,0,0
2026-07-31T11:53:44.202631+00:00,10843.567576997,3.009920,,,,,,0,0
2026-07-31T11:53:44.702638+00:00,10844.067584569,3.509927,,,1658137028.094852,,,0,0
2026-07-31T11:53:45.202613+00:00,10844.567559117,4.009902,,,1658137028.5948646,,,0,0
2026-07-31T11:53:45.702599+00:00,10845.067546315,4.509889,,,1658137029.0948968,,,0,0
2026-07-31T11:53:46.202626+00:00,10845.567571684,5.009914,,,1658137029.5949175,,,0,0
2026-07-31T11:53:46.702633+00:00,10846.067577593,5.509920,,,1658137030.0949473,,,0,0
2026-07-31T11:53:47.202609+00:00,10846.567555402,6.009898,,,1658137030.5949726,,,0,0
2026-07-31T11:53:47.702637+00:00,10847.067581998,6.509925,,,1658137031.0949948,,,0,0
2026-07-31T11:53:48.202637+00:00,10847.567581671,7.009924,,,1658137031.5950215,,,0,0
2026-07-31T11:53:48.702624+00:00,10848.067569411,7.509912,,,1658137032.095051,,,0,0
2026-07-31T11:53:49.202625+00:00,10848.567571504,8.009914,,,1658137032.5950835,,,0,0
2026-07-31T11:53:49.802868+00:00,10849.167815254,8.610158,1658137027.7247493,,1658137027.8392289,,,0,2
2026-07-31T11:53:50.342219+00:00,10849.707165015,9.149508,1658137028.3247216,,1658137028.5392764,,,0,5
2026-07-31T11:53:50.807399+00:00,10850.172345288,9.614688,1658137028.6248615,,1658137028.664275,,,0,8
2026-07-31T11:53:51.270666+00:00,10850.635612441,10.077955,1658137029.0248451,,1658137029.1392968,,,0,11
2026-07-31T11:53:51.732325+00:00,10851.097272325,10.539615,1658137029.4247363,,1658137029.5893202,,,0,14
2026-07-31T11:53:52.350404+00:00,10851.715350727,11.157693,1658137029.9249232,,1658137030.2143419,,,0,18
2026-07-31T11:53:52.814906+00:00,10852.179853645,11.622196,1658137030.3248322,,1658137030.6893747,,,0,21
2026-07-31T11:53:53.274089+00:00,10852.639035869,12.081379,1658137030.7248206,,1658137031.1393917,,,0,24
2026-07-31T11:53:53.728366+00:00,10853.093314103,12.535657,1658137031.0248365,,1658137031.5894246,,,0,27
2026-07-31T11:53:54.345019+00:00,10853.709966227,13.152309,1658137031.824723,,1658137032.2144544,,,0,31
2026-07-31T11:53:54.811874+00:00,10854.176820873,13.619164,1658137032.1248643,,1658137032.6894825,,,0,34
